CustomerID,CustomerName,ContactName,Address,City,State,PostalCode,Country,Phone,Email,CreditLimit,PaymentTerms,CustomerSince,SalesRepEmployeeID,CustomerSegment,Industry,Region,IsActive
1,Walters PLC,Adam Ford,36676 Cortez Trafficway,West Derekland,CO,83256,USA,(324)909-5764x740,customer0001@example.com,258220.04,Net 30,2020-03-11,6,Strategic,Hospitality,West,1
2,Roberts Ltd,Kelsey Duncan,8195 Amanda Mountains,Brennanmouth,OR,06027,USA,4103000222,customer0002@example.com,31925.69,Net 60,2017-08-28,82,Small Business,Office,West,1
3,"Banks, Jacobson and Kemp",Michael Walker,2746 Gina Plains,Shawshire,IN,39031,USA,289-386-7240,customer0003@example.com,17649.97,Net 30,2020-04-22,108,Small Business,Office,Midwest,1
4,"Edwards, Stanley and Rivera",Travis Miller,0669 Marvin Roads,Susanmouth,IN,29690,USA,944.824.7107,customer0004@example.com,144083.67,Net 45,2018-02-28,82,Wholesale,Office,Midwest,1
5,Brown LLC,Carlos Gonzalez,7324 Payne Squares Suite 406,Moniqueborough,AZ,63211,USA,293.994.8270,customer0005@example.com,49089.88,Net 30,2016-07-12,108,Design Trade,Office,West,1
6,"Diaz, Welch and Faulkner",Steven Mercado,99831 Wright Manor Apt. 940,Mossbury,MI,81476,USA,573-393-0890x68437,customer0006@example.com,118881.54,Net 45,2018-04-24,6,Wholesale,Office,Midwest,1
7,"Pierce, Pham and Hall",Norman Berry,18398 Stephen Estate Apt. 557,Joshuafurt,TN,48228,USA,8285739839,customer0007@example.com,87432.12,Net 45,2017-05-15,120,Wholesale,Interior Design,South,1
8,Chavez-Paul,Scott Ford Jr.,9206 Kennedy Streets,Rowlandtown,NY,19171,USA,(946)228-6289x923,customer0008@example.com,20696.16,Net 45,2020-05-25,107,Small Business,Retail,Northeast,1
9,"Bowers, Duke and Powers",Amy Conway,731 Melissa Rue,North Haley,MI,45812,USA,(877)804-2190x37377,customer0009@example.com,73632.57,Net 60,2024-05-25,120,Wholesale,Real Estate,Midwest,1
10,"Donaldson, Campbell and Arnold",Antonio Johnson,2198 Barrera Views,Lewismouth,IL,70652,USA,(452)452-9195x79473,customer0010@example.com,121010.12,Net 45,2017-03-09,120,Design Services,Retail,Midwest,1
11,Taylor-Cannon,Jennifer Melton,67270 Rivera Manor,Williamchester,WI,53202,USA,(727)737-4625x01263,customer0011@example.com,33587.02,Net 30,2024-12-24,108,Small Business,Real Estate,Midwest,1
12,Berry-Parks,Gloria Greene,13613 Jimenez Burg Apt. 499,West Tiffany,WI,99452,USA,294.379.5556,customer0012@example.com,52346.26,Net 30,2021-11-24,120,Design Services,Office,Midwest,1
13,"Scott, Fowler and Green",Olivia Cochran,49779 West Course,Hernandezview,IL,73065,USA,376.729.0299x9117,customer0013@example.com,38718.99,Net 45,2019-06-23,84,Design Trade,Real Estate,Midwest,1
