SupplierID,SupplierName,ContactName,Address,City,State,PostalCode,Country,Phone,Email,PaymentTerms,IsApproved,TaxID,BankAccount,SupplierCategory,SupplierRiskRating,DefaultCurrency
1,Anderson-Noble,Jesse Porter,5011 Patricia Pine Apt. 492,Johnsonfurt,MT,94029,USA,355.432.6880x7054,supplier0001@example.com,Net 45,1,XX-XXX1001,****5001,Accessories,Low,USD
2,"Watson, Mitchell and Chen",Mary Mills,087 Smith Well,South Patriciafurt,PR,76652,USA,(707)536-2317x6424,supplier0002@example.com,Net 30,1,XX-XXX1002,****5002,Textiles,Low,USD
3,"Lucas, Green and Richardson",Sergio Price,95828 Collins Spurs Suite 932,Port Davidshire,ND,94651,USA,(531)539-0017x6824,supplier0003@example.com,Net 45,1,XX-XXX1003,****5003,Accessories,Low,USD
4,"Stokes, Mann and Keller",Sarah Soto,00450 Mendoza Spurs Suite 177,Foxborough,NY,69561,USA,001-489-246-4436x5956,supplier0004@example.com,Net 30,1,XX-XXX1004,****5004,Logistics,Low,USD
5,Nelson-Rocha,Robert Howard,03484 Sandoval Crescent,Hallchester,PW,27662,USA,312.493.2414,supplier0005@example.com,Net 45,1,XX-XXX1005,****5005,Services,Low,USD
6,"Wright, Sanchez and Garza",Ruth Murphy,54726 Gamble Village Apt. 176,New Mirandachester,SC,08405,USA,850.635.3846,supplier0006@example.com,Net 60,1,XX-XXX1006,****5006,Accessories,Low,USD
7,Powell Inc,Robyn Decker,94328 Christopher Mission,Port Amystad,PR,97232,USA,(230)411-3928,supplier0007@example.com,Net 60,1,XX-XXX1007,****5007,Packaging,Low,USD
8,Gardner-Shelton,Alison Boyd,302 Krueger Isle Apt. 095,South Kenneth,NH,93504,USA,811.953.6409x8319,supplier0008@example.com,Net 60,1,XX-XXX1008,****5008,Packaging,Low,USD
9,Hale-Hart,Allison Marsh,475 William Skyway Suite 314,Kellyshire,KS,47570,USA,793-480-4814x5254,supplier0009@example.com,Net 30,1,XX-XXX1009,****5009,Accessories,Low,USD
10,"Gay, Clark and Hickman",Catherine Lowe,487 Steven Greens Suite 502,Lake Amy,MD,50757,USA,(431)548-1910x932,supplier0010@example.com,Net 30,1,XX-XXX1010,****5010,Accessories,Medium,USD
11,"Thomas, Robinson and Cunningham",Judy Kelley,804 Deborah Hollow,Victoriaborough,AZ,03208,USA,240-960-4858,supplier0011@example.com,Net 45,1,XX-XXX1011,****5011,Accessories,High,USD
12,Anderson-Lara,Jennifer Lee,15322 Gray Springs Suite 715,East Christine,OK,68275,USA,(360)749-8904x687,supplier0012@example.com,Net 30,1,XX-XXX1012,****5012,Furniture,Medium,USD
13,Briggs-Cummings,Dennis Petersen,67857 Meyer Road Apt. 409,Tanyahaven,MT,88496,USA,996.756.3212,supplier0013@example.com,Net 60,1,XX-XXX1013,****5013,Packaging,Medium,USD
14,Morris-Taylor,Wayne Lopez,79090 Jones Roads,South Ronnietown,GU,36283,USA,654.243.6128,supplier0014@example.com,Net 45,1,XX-XXX1014,****5014,Logistics,Medium,USD
15,"Cross, Alexander and Romero",Kaitlyn Francis,64661 Peterson Coves Apt. 996,Lake Danielle,DE,61934,USA,+1-452-358-2878,supplier0015@example.com,Net 30,1,XX-XXX1015,****5015,Services,Low,USD
